Naam,Pesar,Dokhtar,Rate
اَبدَه,1.0,,بسيار نادر
اَبيش,1.0,,بسيار نادر
اَپروَند,1.0,,بسيار نادر
اَپروَيژ,1.0,,بسيار نادر
اَپيوه,1.0,,بسيار نادر
اَترس,1.0,,بسيار نادر
اَدرك,,1.0,بسيار نادر
اَرتان,1.0,,بسيار نادر
اَردويسور,,1.0,بسيار نادر
اَرشَن,1.0,,بسيار نادر
اَرشام,1.0,,بسيار نادر
اَرشان,1.0,,بسيار نادر
اَرشيت,,1.0,بسيار نادر
اَشوداد,1.0,,بسيار نادر
اَگومان,1.0,,بسيار نادر
اَمُرداد,,1.0,بسيار نادر
اَمِستريس,,1.0,بسيار نادر
اَوَخشيا,1.0,,بسيار نادر
اَوَرداد,1.0,,بسيار نادر
اَوَركام,1.0,,بسيار نادر
اَهنَوَد,1.0,,بسيار نادر
اَهونَوَر,,1.0,بسيار نادر
اُزيرن,1.0,,بسيار نادر
اُشهن,1.0,,بسيار نادر
اُورنگ,1.0,,معمولي
اُوژن,1.0,,بسيار نادر
اِستاتيرا,,1.0,بسيار نادر
اباذر,1.0,,معمولي
ابالفضل,1.0,,معمولي
ابتسام,,1.0,معمولي
ابتهاج,1.0,,معمولي
ابتهاش,1.0,,بسيار نادر
ابتين,1.0,,معمولي
ابرارها,1.0,,بسيار نادر
ابراهيم,1.0,,پركاربرد
ابريشم,,1.0,بسيار نادر
ابناس,,1.0,بسيار نادر
ابوالحسن,1.0,,معمولي
ابوالحسين,1.0,,معمولي
ابوالعباس,1.0,,معمولي
ابوالعلا,1.0,,معمولي
ابوالفتح,1.0,,معمولي
ابوالفرج,1.0,,معمولي
ابوالفضل,1.0,,پركاربرد
ابوالقاسم,1.0,,معمولي
ابوبكر,1.0,,بسيار نادر
ابوذر,1.0,,معمولي
ابوريحان,1.0,,بسيار نادر
ابوطالب,1.0,,معمولي
ابوعزيز,1.0,,بسيار نادر
ابومسلم,1.0,,معمولي
اپرنگ,1.0,,بسيار نادر
اپرويز,1.0,,بسيار نادر
اتبك,1.0,,بسيار نادر
اترك,1.0,,بسيار نادر
اترين,1.0,,بسيار نادر
اثير,1.0,,بسيار نادر
اثيرالدين,1.0,,بسيار نادر
احترام,,1.0,معمولي
احتشام,1.0,,معمولي
احد,1.0,,معمولي
احسان,1.0,1.0,پركاربرد
احسان الله,1.0,,معمولي
احلام,,1.0,بسيار نادر
احمد,1.0,,پركاربرد
احمدرضا,1.0,,پركاربرد
احيا,1.0,,بسيار نادر
اختاي,1.0,,بسيار نادر
اختر,,1.0,معمولي
اختيارالدين,1.0,,بسيار نادر
اخشاد,1.0,,بسيار نادر
اخشيد,1.0,,بسيار نادر
اخگر,,1.0,بسيار نادر
ادريس,1.0,,معمولي
ادرينا,,1.0,بسيار نادر
ادليا,,1.0,بسيار نادر
ادنا,1.0,,بسيار نادر
ادهم,1.0,,معمولي
اديان,1.0,,بسيار نادر
اديب,1.0,,معمولي
اذرخش,1.0,,بسيار نادر
اراد,1.0,,بسيار نادر
اران,1.0,,بسيار نادر
ارانوس,,1.0,بسيار نادر
ارباب,1.0,,بسيار نادر
ارباد,1.0,,بسيار نادر
ارباس,1.0,,بسيار نادر
اربيل,1.0,,بسيار نادر
ارتا,1.0,1.0,بسيار نادر
ارتا آريا,1.0,,بسيار نادر
ارتاريا,1.0,,بسيار نادر
ارتاش,,1.0,بسيار نادر
ارتافرين,1.0,,بسيار نادر
ارتان,1.0,,بسيار نادر
ارتگين,1.0,,بسيار نادر
ارتمن,1.0,,بسيار نادر
ارتنگ,1.0,,بسيار نادر
ارتيان,1.0,,بسيار نادر
ارتين,1.0,,معمولي
ارج,1.0,,بسيار نادر
ارجاسب,1.0,,بسيار نادر
ارجاسپ,1.0,,بسيار نادر
ارجمند,1.0,,معمولي
ارد,1.0,,بسيار نادر
اردا,1.0,,بسيار نادر
اردشام,1.0,,بسيار نادر
اردشير,1.0,,معمولي
اردلان,1.0,,معمولي
اردم,1.0,,بسيار نادر
اردوان,1.0,,بسيار نادر
اردي داد,1.0,,بسيار نادر
ارديان,1.0,,بسيار نادر
ارديبهشت,,1.0,بسيار نادر
اردين,1.0,,بسيار نادر
ارزنده,,1.0,بسيار نادر
ارزين,1.0,,بسيار نادر
ارزينه,,1.0,بسيار نادر
ارژن,1.0,,بسيار نادر
ارژنگ,1.0,,معمولي
ارس,1.0,,بسيار نادر
ارسا,,1.0,بسيار نادر
ارسام,1.0,,بسيار نادر
ارسان,,1.0,بسيار نادر
ارسطو,1.0,,معمولي
ارسلان,1.0,,معمولي
